filepath,filename_ext,filename_prefix,subdir,crs,scale,satellite,band,date_str,date,pixel_sum,pixel_mean,pixel_min,pixel_max,gage
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_01.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_01,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_01,2010-01-01,12514.0,49.07451,34.0,61.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_09.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_09,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_09,2010-01-09,145640.0,44.24058,27.0,82.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_17.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_17,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_17,2010-01-17,5528.0,33.101795,23.0,46.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_25.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_25,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_25,2010-01-25,117368.0,48.062244,29.0,74.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_02.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_02,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_02,2010-02-02,133794.0,59.889885,30.0,94.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_10.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_10,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_10,2010-02-10,280117.0,68.79101,38.0,109.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_18.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_18,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_18,2010-02-18,245749.0,67.88647,39.0,113.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_26.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_26,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_26,2010-02-26,93838.0,74.65234,37.0,110.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_06.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_06,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_03_06,2010-03-06,223475.0,67.90489,41.0,124.0,11402000
11402000/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_14.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_14,11402000,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2010_03_14,2010-03-14,343520.0,75.54871,45.0,152.0,11402000
