filepath,pixel_sum,pixel_mean,filename,date_str,datetime,scale,gage
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_01.tif,246791.0,63.803257,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_01.tif,2010_01_01,2010-01-01,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_09.tif,180925.0,73.81681,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_09.tif,2010_01_09,2010-01-09,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_17.tif,0.0,,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_17.tif,2010_01_17,2010-01-17,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_25.tif,168091.0,78.036674,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_25.tif,2010_01_25,2010-01-25,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_02.tif,53419.0,73.78315,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_02.tif,2010_02_02,2010-02-02,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_10.tif,172067.0,89.66493,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_10.tif,2010_02_10,2010-02-10,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_18.tif,161359.0,80.039185,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_18.tif,2010_02_18,2010-02-18,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_26.tif,22559.0,101.16144,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_26.tif,2010_02_26,2010-02-26,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_06.tif,139705.0,112.483894,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_06.tif,2010_03_06,2010-03-06,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_14.tif,139098.0,84.40413,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_14.tif,2010_03_14,2010-03-14,463.31,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_22.tif,234972.0,110.57506,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_22.tif,2010_03_22,2010-03-22,463.31,11266500
