band,gage,lag,agg,corr
et,11185500,0,mu,0.39764911347430054
et,11185500,0,min,
et,11185500,0,max,0.41923349849088765
et,11189500,0,mu,0.19136944550759777
et,11189500,0,min,
et,11189500,0,max,-0.012647574284193571
et,11202710,0,mu,0.08396207624302161
et,11202710,0,min,-0.059578359790703056
et,11202710,0,max,0.07559187796325074
et,11208000,0,mu,0.37730037048220666
et,11208000,0,min,
et,11208000,0,max,0.34489533876109485
et,11266500,0,mu,0.17793273789312375
et,11266500,0,min,
et,11266500,0,max,0.26452698544302605
et,11318500,0,mu,-0.06369353323656454
et,11318500,0,min,-0.04444448136919759
et,11318500,0,max,-0.13296041808352066
et,11402000,0,mu,-0.2176109829278224
et,11402000,0,min,
et,11402000,0,max,-0.21826019937917512
et,11185500,1,mu,0.34160428180052216
et,11185500,1,min,
et,11185500,1,max,0.3423683577445093
et,11189500,1,mu,0.1518566674435477
et,11189500,1,min,
et,11189500,1,max,-0.036561162914988565
et,11202710,1,mu,0.05793854716134052
et,11202710,1,min,-0.059864221169506716
et,11202710,1,max,0.047415897387752114
et,11208000,1,mu,0.2950610562014435
et,11208000,1,min,
et,11208000,1,max,0.25036416281515794
et,11266500,1,mu,0.12469683853937295
et,11266500,1,min,
et,11266500,1,max,0.18315917630308343
et,11318500,1,mu,-0.1516251091018934
et,11318500,1,min,-0.05698787516206001
et,11318500,1,max,-0.19716954932021782
et,11402000,1,mu,-0.27018952269981866
et,11402000,1,min,
et,11402000,1,max,-0.255493021259964
et,11185500,2,mu,0.2841407283679523
et,11185500,2,min,
et,11185500,2,max,0.24986819550388356
et,11189500,2,mu,0.13312915836676875
et,11189500,2,min,
et,11189500,2,max,-0.06665331174180786
et,11202710,2,mu,-0.0044124075893219915
et,11202710,2,min,-0.05975242405176278
et,11202710,2,max,-0.009618292065114666
et,11208000,2,mu,0.20152030268656368
et,11208000,2,min,
et,11208000,2,max,0.14989060062697826
et,11266500,2,mu,-0.006399680392063609
et,11266500,2,min,
et,11266500,2,max,0.08703408382268675
et,11318500,2,mu,-0.18253057578644033
et,11318500,2,min,-0.06049577319516788
et,11318500,2,max,-0.23882461751881684
et,11402000,2,mu,-0.2977561227956747
et,11402000,2,min,
et,11402000,2,max,-0.2869441658417148
et,11185500,3,mu,0.21276943941253845
et,11185500,3,min,
et,11185500,3,max,0.16905119525280596
et,11189500,3,mu,0.05839610417223029
et,11189500,3,min,
et,11189500,3,max,-0.10618688659293768
et,11202710,3,mu,-0.05170412764632042
et,11202710,3,min,-0.060226667323504415
et,11202710,3,max,-0.07600097660036513
et,11208000,3,mu,0.11200677541241871
et,11208000,3,min,
et,11208000,3,max,0.04921776408603851
et,11266500,3,mu,-0.130204916237544
et,11266500,3,min,
et,11266500,3,max,0.020092482076123293
et,11318500,3,mu,-0.23186331459928658
et,11318500,3,min,-0.07529583923465424
et,11318500,3,max,-0.2800990946584998
et,11402000,3,mu,-0.3145376742986111
et,11402000,3,min,
et,11402000,3,max,-0.3039416352165582
et,11185500,4,mu,0.1262553089926424
et,11185500,4,min,
et,11185500,4,max,0.07403873276364902
et,11189500,4,mu,0.03826975363732257
et,11189500,4,min,
et,11189500,4,max,-0.1138211375996946
et,11202710,4,mu,-0.06636688744477424
et,11202710,4,min,-0.05877496435035235
et,11202710,4,max,-0.09839172726654992
et,11208000,4,mu,0.003363868555513917
et,11208000,4,min,
et,11208000,4,max,-0.06502888384782912
et,11266500,4,mu,-0.21468092544299033
et,11266500,4,min,
et,11266500,4,max,-0.04921368390068876
et,11318500,4,mu,-0.2545159424897095
et,11318500,4,min,-0.022177343388557594
et,11318500,4,max,-0.3077169964028576
et,11402000,4,mu,-0.2988090791406701
et,11402000,4,min,
et,11402000,4,max,-0.31500487053281245
et,11185500,5,mu,0.05193785313037616
et,11185500,5,min,
et,11185500,5,max,-0.009279670815711375
et,11189500,5,mu,-0.020062985244707426
et,11189500,5,min,
et,11189500,5,max,-0.1409420980761458
et,11202710,5,mu,-0.069516963646913
et,11202710,5,min,-0.058135131992875996
et,11202710,5,max,-0.09725530461288945
et,11208000,5,mu,-0.10736507247880572
et,11208000,5,min,
et,11208000,5,max,-0.1861729072196395
et,11266500,5,mu,-0.307801085605201
et,11266500,5,min,
et,11266500,5,max,-0.11351824270433555
et,11318500,5,mu,-0.2614166266548364
et,11318500,5,min,-0.07862271093444093
et,11318500,5,max,-0.32286164567206616
et,11402000,5,mu,-0.30863913115228464
et,11402000,5,min,
et,11402000,5,max,-0.32660028975141747
et,11185500,6,mu,-0.033557286518211854
et,11185500,6,min,
et,11185500,6,max,-0.10149925635673568
et,11189500,6,mu,-0.04978840700005328
et,11189500,6,min,
et,11189500,6,max,-0.14533484863370763
et,11202710,6,mu,-0.0725692956288497
et,11202710,6,min,-0.058841350030756405
et,11202710,6,max,-0.11383560459921094
et,11208000,6,mu,-0.21812741350119208
et,11208000,6,min,
et,11208000,6,max,-0.28212705504507785
et,11266500,6,mu,-0.3596337235033002
et,11266500,6,min,
et,11266500,6,max,-0.17158690852278655
et,11318500,6,mu,-0.2782789776255762
et,11318500,6,min,-0.0716894321618154
et,11318500,6,max,-0.3408833280073854
et,11402000,6,mu,-0.29823188710034115
et,11402000,6,min,
et,11402000,6,max,-0.3314899485874256
et,11185500,7,mu,-0.13338185121095697
et,11185500,7,min,
et,11185500,7,max,-0.18639405882967278
et,11189500,7,mu,-0.08154383511634683
et,11189500,7,min,
et,11189500,7,max,-0.17757962186293627
et,11202710,7,mu,-0.12808757770868495
et,11202710,7,min,-0.057202543791939585
et,11202710,7,max,-0.14259660753982506
et,11208000,7,mu,-0.3346293975290835
et,11208000,7,min,
et,11208000,7,max,-0.37774873157339406
et,11266500,7,mu,-0.39626853855611005
et,11266500,7,min,
et,11266500,7,max,-0.22449342360817665
et,11318500,7,mu,-0.2858902929531008
et,11318500,7,min,-0.06700429851569104
et,11318500,7,max,-0.35723862987544625
et,11402000,7,mu,-0.2998590256365902
et,11402000,7,min,
et,11402000,7,max,-0.3290265451488785
et,11185500,8,mu,-0.23023564686705117
et,11185500,8,min,
et,11185500,8,max,-0.26659479456281243
et,11189500,8,mu,-0.08502727871875393
et,11189500,8,min,
et,11189500,8,max,-0.16917801215962075
et,11202710,8,mu,-0.11057162605628233
et,11202710,8,min,-0.05315650054591577
et,11202710,8,max,-0.14543244355814233
et,11208000,8,mu,-0.4427608797265635
et,11208000,8,min,
et,11208000,8,max,-0.46374270620999153
et,11266500,8,mu,-0.4430012833309374
et,11266500,8,min,
et,11266500,8,max,-0.26174390089794114
et,11318500,8,mu,-0.31453775488285207
et,11318500,8,min,-0.06806116191454512
et,11318500,8,max,-0.36142940874513996
et,11402000,8,mu,-0.3131780967464673
et,11402000,8,min,
et,11402000,8,max,-0.3157554365153611
et,11185500,9,mu,-0.2830412507442147
et,11185500,9,min,
et,11185500,9,max,-0.33896763533363744
et,11189500,9,mu,-0.1400642991007593
et,11189500,9,min,
et,11189500,9,max,-0.1617406393474094
et,11202710,9,mu,-0.0860099456175328
et,11202710,9,min,-0.061724319991631284
et,11202710,9,max,-0.11412253193865161
et,11208000,9,mu,-0.5266258135391152
et,11208000,9,min,
et,11208000,9,max,-0.5456900167476862
et,11266500,9,mu,-0.4811455753492092
et,11266500,9,min,
et,11266500,9,max,-0.3076109017539311
et,11318500,9,mu,-0.29363431328715867
et,11318500,9,min,0.0269807939689259
et,11318500,9,max,-0.342411995166893
et,11402000,9,mu,-0.2762092348322167
et,11402000,9,min,
et,11402000,9,max,-0.29874788487501225
et,11185500,10,mu,-0.36988132913564625
et,11185500,10,min,
et,11185500,10,max,-0.3907202326049832
et,11189500,10,mu,-0.13405674501313466
et,11189500,10,min,
et,11189500,10,max,-0.18229287380215445
et,11202710,10,mu,-0.1759784331950276
et,11202710,10,min,-0.06098938941652402
et,11202710,10,max,-0.1477712040919592
et,11208000,10,mu,-0.5984656832970183
et,11208000,10,min,
et,11208000,10,max,-0.6154431436129
et,11266500,10,mu,-0.49025638650380576
et,11266500,10,min,
et,11266500,10,max,-0.34007346011200024
et,11318500,10,mu,-0.31334334189767066
et,11318500,10,min,-0.06658734065428429
et,11318500,10,max,-0.3518667540610129
et,11402000,10,mu,-0.29810940499671823
et,11402000,10,min,
et,11402000,10,max,-0.2774465087750793
et,11185500,11,mu,-0.42068814396418264
et,11185500,11,min,
et,11185500,11,max,-0.4443498284374448
et,11189500,11,mu,-0.20279087660910772
et,11189500,11,min,
et,11189500,11,max,-0.16451147584168743
et,11202710,11,mu,-0.19717650840296969
et,11202710,11,min,-0.04952040200036537
et,11202710,11,max,-0.17445274511941936
et,11208000,11,mu,-0.6620187892383014
et,11208000,11,min,
et,11208000,11,max,-0.6735206121842096
et,11266500,11,mu,-0.5136062456741299
et,11266500,11,min,
et,11266500,11,max,-0.37224615533924305
et,11318500,11,mu,-0.3436584209016931
et,11318500,11,min,-0.06282779918590765
et,11318500,11,max,-0.3647897928530496
et,11402000,11,mu,-0.25613117619469594
et,11402000,11,min,
et,11402000,11,max,-0.26998883438069143
et,11185500,12,mu,-0.461965703235966
et,11185500,12,min,
et,11185500,12,max,-0.48997903702251183
et,11189500,12,mu,-0.20323549369047642
et,11189500,12,min,
et,11189500,12,max,-0.15389090084345786
et,11202710,12,mu,-0.09742663540694761
et,11202710,12,min,-0.05832238376178451
et,11202710,12,max,-0.14932181719923274
et,11208000,12,mu,-0.7084781034691551
et,11208000,12,min,
et,11208000,12,max,-0.7237592336042211
et,11266500,12,mu,-0.5200564139045005
et,11266500,12,min,
et,11266500,12,max,-0.40058685075251477
et,11318500,12,mu,-0.28950625730473023
et,11318500,12,min,-0.07342749356859056
et,11318500,12,max,-0.31317864305314597
et,11402000,12,mu,-0.23248136548646758
et,11402000,12,min,
et,11402000,12,max,-0.2082723693085906
et,11185500,13,mu,-0.4918426443808561
et,11185500,13,min,
et,11185500,13,max,-0.5064184231692861
et,11189500,13,mu,-0.19924698771948413
et,11189500,13,min,
et,11189500,13,max,-0.15404463115724976
et,11202710,13,mu,-0.14523570586829684
et,11202710,13,min,-0.05166465015124165
et,11202710,13,max,-0.1547186273187503
et,11208000,13,mu,-0.7278450053303157
et,11208000,13,min,
et,11208000,13,max,-0.7531885812449944
et,11266500,13,mu,-0.5123517544603151
et,11266500,13,min,
et,11266500,13,max,-0.4215105415506144
et,11318500,13,mu,-0.27131220886891644
et,11318500,13,min,-0.06791115719375151
et,11318500,13,max,-0.29864215761040364
et,11402000,13,mu,-0.1994966533322785
et,11402000,13,min,
et,11402000,13,max,-0.18126660437205094
et,11185500,14,mu,-0.5149706303640689
et,11185500,14,min,
et,11185500,14,max,-0.5249325216437306
et,11189500,14,mu,-0.21093624372817815
et,11189500,14,min,
et,11189500,14,max,-0.1572551469593888
et,11202710,14,mu,-0.14791586360232983
et,11202710,14,min,-0.04448485269987582
et,11202710,14,max,-0.16360212548785752
et,11208000,14,mu,-0.7506091962456044
et,11208000,14,min,
et,11208000,14,max,-0.774962969910175
et,11266500,14,mu,-0.5193818367541914
et,11266500,14,min,
et,11266500,14,max,-0.4452804704209288
et,11318500,14,mu,-0.2889746994390306
et,11318500,14,min,-0.07277468239699757
et,11318500,14,max,-0.28929152711290185
et,11402000,14,mu,-0.24636079581194967
et,11402000,14,min,
et,11402000,14,max,-0.163767798790733
et,11185500,15,mu,-0.5348959989907754
et,11185500,15,min,
et,11185500,15,max,-0.5249771004027359
et,11189500,15,mu,-0.19709971092052844
et,11189500,15,min,
et,11189500,15,max,-0.1075390055408892
et,11202710,15,mu,-0.1942210334961066
et,11202710,15,min,-0.047249670523361945
et,11202710,15,max,-0.17890138121257648
et,11208000,15,mu,-0.7587381788700627
et,11208000,15,min,
et,11208000,15,max,-0.7803995228821008
et,11266500,15,mu,-0.5122665674686906
et,11266500,15,min,
et,11266500,15,max,-0.45799443415485475
et,11318500,15,mu,-0.2839055836971405
et,11318500,15,min,-0.05598167631117887
et,11318500,15,max,-0.283155856332954
et,11402000,15,mu,-0.23622463469085891
et,11402000,15,min,
et,11402000,15,max,-0.14219183058619372
et,11185500,16,mu,-0.5402306373218559
et,11185500,16,min,
