gage,time,ft,m3
11402000,1984-10-01,54.0,1.529109716
11402000,1984-10-02,52.0,1.472476023
11402000,1984-10-03,49.0,1.387525483
11402000,1984-10-04,49.0,1.387525483
11402000,1984-10-05,48.0,1.359208636
11402000,1984-10-06,49.0,1.387525483
11402000,1984-10-07,49.0,1.387525483
11402000,1984-10-08,47.0,1.33089179
11402000,1984-10-09,48.0,1.359208636
11402000,1984-10-10,49.0,1.387525483
11402000,1984-10-11,99.0,2.803367813
11402000,1984-10-12,80.0,2.265347727
11402000,1984-10-13,65.0,1.840595028
11402000,1984-10-14,60.0,1.699010796
11402000,1984-10-15,59.0,1.670693949
11402000,1984-10-16,61.0,1.727327642
11402000,1984-10-17,72.0,2.038812955
11402000,1984-10-18,65.0,1.840595028
11402000,1984-10-19,65.0,1.840595028
11402000,1984-10-20,69.0,1.953862415
11402000,1984-10-21,66.0,1.868911875
11402000,1984-10-22,64.0,1.812278182
11402000,1984-10-23,62.0,1.755644489
11402000,1984-10-24,60.0,1.699010796
11402000,1984-10-25,60.0,1.699010796
11402000,1984-10-26,60.0,1.699010796
11402000,1984-10-27,61.0,1.727327642
11402000,1984-10-28,62.0,1.755644489
11402000,1984-10-29,63.0,1.783961335
11402000,1984-10-30,62.0,1.755644489
11402000,1984-10-31,62.0,1.755644489
11402000,1984-11-01,61.0,1.727327642
11402000,1984-11-02,89.0,2.520199347
11402000,1984-11-03,154.0,4.360794375
11402000,1984-11-04,93.0,2.633466733
11402000,1984-11-05,84.0,2.378615114
11402000,1984-11-06,103.0,2.916635199
11402000,1984-11-07,116.0,3.284754205
11402000,1984-11-08,133.0,3.766140597
11402000,1984-11-09,137.0,3.879407983
11402000,1984-11-10,111.0,3.143169972
11402000,1984-11-11,198.0,5.606735625
11402000,1984-11-12,195.0,5.521785085
11402000,1984-11-13,391.0,11.07188702
11402000,1984-11-14,290.0,8.211885512
11402000,1984-11-15,174.0,4.927131307
11402000,1984-11-16,154.0,4.360794375
11402000,1984-11-17,140.0,3.964358523
11402000,1984-11-18,182.0,5.15366608
11402000,1984-11-19,159.0,4.502378608
11402000,1984-11-20,151.0,4.275843835
11402000,1984-11-21,170.0,4.813863921
11402000,1984-11-22,142.0,4.020992216
11402000,1984-11-23,128.0,3.624556364
11402000,1984-11-24,371.0,10.50555009
11402000,1984-11-25,267.0,7.56059804
11402000,1984-11-26,184.0,5.210299773
11402000,1984-11-27,366.0,10.36396585
11402000,1984-11-28,878.0,24.86219131
11402000,1984-11-29,392.0,11.10020386
11402000,1984-11-30,260.0,7.362380114
11402000,1984-12-01,212.0,6.003171478
11402000,1984-12-02,181.0,5.125349233
11402000,1984-12-03,169.0,4.785547074
11402000,1984-12-04,153.0,4.332477529
11402000,1984-12-05,141.0,3.992675369
11402000,1984-12-06,132.0,3.73782375
11402000,1984-12-07,126.0,3.567922671
11402000,1984-12-08,121.0,3.426338438
11402000,1984-12-09,117.0,3.313071051
11402000,1984-12-10,142.0,4.020992216
11402000,1984-12-11,209.0,5.918220938
11402000,1984-12-12,190.0,5.380200852
11402000,1984-12-13,162.0,4.587329148
11402000,1984-12-14,144.0,4.077625909
11402000,1984-12-15,145.0,4.105942756
11402000,1984-12-16,146.0,4.134259602
11402000,1984-12-17,132.0,3.73782375
11402000,1984-12-18,120.0,3.398021591
11402000,1984-12-19,120.0,3.398021591
11402000,1984-12-20,115.0,3.256437358
11402000,1984-12-21,117.0,3.313071051
11402000,1984-12-22,114.0,3.228120511
11402000,1984-12-23,108.0,3.058219432
11402000,1984-12-24,108.0,3.058219432
11402000,1984-12-25,108.0,3.058219432
11402000,1984-12-26,108.0,3.058219432
11402000,1984-12-27,108.0,3.058219432
11402000,1984-12-28,102.0,2.888318352
11402000,1984-12-29,101.0,2.860001506
11402000,1984-12-30,99.0,2.803367813
11402000,1984-12-31,99.0,2.803367813
11402000,1985-01-01,95.0,2.690100426
11402000,1985-01-02,92.0,2.605149886
11402000,1985-01-03,92.0,2.605149886
11402000,1985-01-04,92.0,2.605149886
11402000,1985-01-05,90.0,2.548516193
11402000,1985-01-06,92.0,2.605149886
11402000,1985-01-07,96.0,2.718417273
11402000,1985-01-08,100.0,2.831684659
11402000,1985-01-09,107.0,3.029902585
11402000,1985-01-10,110.0,3.114853125
11402000,1985-01-11,102.0,2.888318352
11402000,1985-01-12,98.0,2.775050966
11402000,1985-01-13,94.0,2.66178358
11402000,1985-01-14,92.0,2.605149886
11402000,1985-01-15,95.0,2.690100426
11402000,1985-01-16,96.0,2.718417273
11402000,1985-01-17,94.0,2.66178358
11402000,1985-01-18,94.0,2.66178358
11402000,1985-01-19,96.0,2.718417273
11402000,1985-01-20,97.0,2.746734119
11402000,1985-01-21,96.0,2.718417273
11402000,1985-01-22,93.0,2.633466733
11402000,1985-01-23,93.0,2.633466733
11402000,1985-01-24,95.0,2.690100426
11402000,1985-01-25,95.0,2.690100426
11402000,1985-01-26,96.0,2.718417273
11402000,1985-01-27,98.0,2.775050966
11402000,1985-01-28,99.0,2.803367813
11402000,1985-01-29,87.0,2.463565654
11402000,1985-01-30,83.0,2.350298267
11402000,1985-01-31,79.0,2.237030881
11402000,1985-02-01,75.0,2.123763494
11402000,1985-02-02,85.0,2.40693196
11402000,1985-02-03,81.0,2.293664574
11402000,1985-02-04,79.0,2.237030881
11402000,1985-02-05,75.0,2.123763494
11402000,1985-02-06,79.0,2.237030881
11402000,1985-02-07,99.0,2.803367813
11402000,1985-02-08,1320.0,37.3782375
11402000,1985-02-09,488.0,13.81862114
11402000,1985-02-10,274.0,7.758815966
11402000,1985-02-11,215.0,6.088122017
11402000,1985-02-12,195.0,5.521785085
11402000,1985-02-13,195.0,5.521785085
11402000,1985-02-14,188.0,5.323567159
11402000,1985-02-15,186.0,5.266933466
11402000,1985-02-16,192.0,5.436834546
11402000,1985-02-17,192.0,5.436834546
11402000,1985-02-18,191.0,5.408517699
11402000,1985-02-19,189.0,5.351884006
11402000,1985-02-20,190.0,5.380200852
11402000,1985-02-21,176.0,4.983765
11402000,1985-02-22,172.0,4.870497614
11402000,1985-02-23,174.0,4.927131307
11402000,1985-02-24,176.0,4.983765
11402000,1985-02-25,179.0,5.06871554
11402000,1985-02-26,177.0,5.012081847
11402000,1985-02-27,172.0,4.870497614
11402000,1985-02-28,166.0,4.700596534
11402000,1985-03-01,167.0,4.728913381
11402000,1985-03-02,179.0,5.06871554
11402000,1985-03-03,160.0,4.530695455
11402000,1985-03-04,160.0,4.530695455
11402000,1985-03-05,151.0,4.275843835
11402000,1985-03-06,155.0,4.389111222
11402000,1985-03-07,163.0,4.615645994
11402000,1985-03-08,150.0,4.247526989
11402000,1985-03-09,153.0,4.332477529
11402000,1985-03-10,180.0,5.097032387
11402000,1985-03-11,196.0,5.550101932
11402000,1985-03-12,204.0,5.776636705
11402000,1985-03-13,208.0,5.889904091
11402000,1985-03-14,205.0,5.804953551
11402000,1985-03-15,207.0,5.861587245
11402000,1985-03-16,208.0,5.889904091
11402000,1985-03-17,211.0,5.974854631
11402000,1985-03-18,246.0,6.965944262
11402000,1985-03-19,262.0,7.419013807
11402000,1985-03-20,257.0,7.277429574
11402000,1985-03-21,261.0,7.390696961
11402000,1985-03-22,234.0,6.626142103
11402000,1985-03-23,218.0,6.173072557
11402000,1985-03-24,337.0,9.542777302
11402000,1985-03-25,333.0,9.429509915
11402000,1985-03-26,290.0,8.211885512
11402000,1985-03-27,299.0,8.466737131
11402000,1985-03-28,268.0,7.588914887
11402000,1985-03-29,262.0,7.419013807
11402000,1985-03-30,276.0,7.815449659
11402000,1985-03-31,327.0,9.259608836
11402000,1985-04-01,434.0,12.28951142
11402000,1985-04-02,545.0,15.43268139
11402000,1985-04-03,630.0,17.83961335
11402000,1985-04-04,615.0,17.41486065
11402000,1985-04-05,607.0,17.18832588
11402000,1985-04-06,621.0,17.58476173
11402000,1985-04-07,616.0,17.4431775
11402000,1985-04-08,577.0,16.33882048
11402000,1985-04-09,552.0,15.63089932
11402000,1985-04-10,558.0,15.8008004
11402000,1985-04-11,512.0,14.49822546
11402000,1985-04-12,459.0,12.99743259
11402000,1985-04-13,467.0,13.22396736
11402000,1985-04-14,520.0,14.72476023
11402000,1985-04-15,536.0,15.17782977
11402000,1985-04-16,482.0,13.64872006
11402000,1985-04-17,397.0,11.2417881
11402000,1985-04-18,343.0,9.712678381
11402000,1985-04-19,334.0,9.457826762
11402000,1985-04-20,291.0,8.240202358
11402000,1985-04-21,263.0,7.447330654
11402000,1985-04-22,245.0,6.937627415
11402000,1985-04-23,236.0,6.682775796
11402000,1985-04-24,230.0,6.512874716
11402000,1985-04-25,220.0,6.22970625
11402000,1985-04-26,206.0,5.833270398
11402000,1985-04-27,196.0,5.550101932
11402000,1985-04-28,204.0,5.776636705
11402000,1985-04-29,223.0,6.31465679
11402000,1985-04-30,218.0,6.173072557
11402000,1985-05-01,221.0,6.258023097
11402000,1985-05-02,228.0,6.456241023
