id,gages,epochs,hidden_dim,enc_num_heads,dec_num_heads,n_days_et,n_days_precip,n_days_temp,n_days_y,n_et,n_swe,architecture,dropout,dropout_concat,enc_dense_dim,end_time,gage,learning_rate,loss,opt,pooling,shuffle_train,start_time,swe_days_relative,test_pred_end_time,test_pred_start_time,tf_board_update_freq,train_end_time,train_start_time,use_masks,val_pred_end_time,val_pred_start_time,y_col,y_seq,dec_dense_dim,dec_embed_dim,dem_kernal,dem_strides,enc_embed_dim,et_kernal,et_strides,precip_kernal,precip_strides,swe_kernal,swe_strides,temp_kernal,temp_strides,cnn_activation,dem_ksize,et_ksize,final_dense_dim,kernal,one_day_pred,strides,swe_ksize,num_training_samples,sample_weight,sample_z_score,rmse_1day,rmse_avg,rmse_total,rrmse_avg,rrmse_total,mape_avg,mape_total,rrmse_1day,mape_1day,rmse_2day,rmse_3day,rmse_4day,rmse_5day,rmse_6day,rmse_7day,rmse_8day,rmse_9day,rmse_10day,rmse_11day,rmse_12day,rmse_13day,rmse_14day,rrmse_2day,rrmse_3day,rrmse_4day,rrmse_5day,rrmse_6day,rrmse_7day,rrmse_8day,rrmse_9day,rrmse_10day,rrmse_11day,rrmse_12day,rrmse_13day,rrmse_14day,mape_2day,mape_3day,mape_4day,mape_5day,mape_6day,mape_7day,mape_8day,mape_9day,mape_10day,mape_11day,mape_12day,mape_13day,mape_14day
1b618da0-6655-453e-a703-a8e67cc246d5,['11266500'],1,8,4,,8,7,7,1,1,12,SpaceTimeTransformerArchitecture,0.5,,24,2022-11-28 01:44:44,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-11-28 01:40:51,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 01:44:38,2022-11-28 01:44:15,100,2022-11-28 01:43:52,2022-11-28 01:41:03,True,2022-11-28 01:44:15,2022-11-28 01:43:52,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,8.360693274902108,8.360693274902108,8.360693274902108,0.6215491248042783,0.6215491248042783,2.805879132199235,2.805879132199235,0.6215491248042783,2.805879132199235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a38552a3-3b75-433e-866d-f1a58489743a,['11266500'],3,8,4,,8,7,7,1,1,12,SpaceTimeTransformerArchitecture,0.5,,24,2022-11-28 01:17:57,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-11-28 01:07:33,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 01:17:52,2022-11-28 01:17:20,100,2022-11-28 01:16:52,2022-11-28 01:08:51,True,2022-11-28 01:17:20,2022-11-28 01:16:52,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,8.564205992642393,8.564205992642393,8.564205992642393,0.6441308954408627,0.6441308954408627,1.8014446124461183,1.8014446124461183,0.6441308954408627,1.8014446124461183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338874d9-2587-4e74-8684-a4deef8c91bd,['11266500'],3,8,4,,8,7,7,1,1,12,ImgSizeCNN,0.5,,24,2022-11-28 00:24:56,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-11-28 00:13:54,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 00:24:51,2022-11-28 00:24:10,100,2022-11-28 00:23:42,2022-11-28 00:14:07,True,2022-11-28 00:24:10,2022-11-28 00:23:42,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,8.231492733132631,8.231492733132631,8.231492733132631,0.6524456334658539,0.6524456334658539,6.031769521186533,6.031769521186533,0.6524456334658539,6.031769521186533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a34a68d-e2b0-4b01-8fbf-aca87f0dcb77,['11266500'],5,8,4,,8,1,21,1,1,12,ImgSizeCNN,0.5,,24,2022-11-27 23:40:38,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-27 23:25:26,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-27 23:40:34,2022-11-27 23:40:05,100,2022-11-27 23:39:41,2022-11-27 23:26:16,True,2022-11-27 23:40:05,2022-11-27 23:39:41,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,6.509130664634478,6.509130664634478,6.509130664634478,0.6559526882033708,0.6559526882033708,5.108526749309135,5.108526749309135,0.6559526882033708,5.108526749309135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576c30e3-8fea-45a6-9a19-614a7840c354,['11266500'],3,8,4,,8,7,7,1,1,12,SpaceTimeTransformerArchitecture,0.5,,24,2022-11-28 03:14:44,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-11-28 03:04:41,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 03:14:37,2022-11-28 03:14:05,100,2022-11-28 03:13:38,2022-11-28 03:04:50,True,2022-11-28 03:14:05,2022-11-28 03:13:38,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,8.610265575839794,8.610265575839794,8.610265575839794,0.6854935374566297,0.6854935374566297,1.7261736927238365,1.7261736927238365,0.6854935374566297,1.7261736927238365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4117ddd-c048-49af-8b59-ef56d1e420a4,"['11402000', '11189500', '11318500', '11266500', '11202710']",3,64,8,8,8,1,21,14,1,12,GAPTransMaxArchitecture,0.5,,48,2022-11-26 22:40:57,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-26 21:43:03,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-26 22:40:44,2022-11-26 22:37:12,100,2022-11-26 22:33:43,2022-11-26 21:43:19,True,2022-11-26 22:37:12,2022-11-26 22:33:43,m3,True,48,64,"(5, 5)","(1, 1)",64,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,,,3.4140444460810104,3.7389451718459097,3.7507088437644036,0.687355188443364,0.6878784419650477,2.4566561854984372,2.4566561854984372,0.6798120076817251,1.9858050026230718,3.3995489462940736,3.4607932481222368,3.4532146878057612,3.470896146072541,3.4393038585974605,3.563883993418227,3.775307372499717,3.959049478571852,3.9906507525730843,4.111936895328274,4.195518226802672,4.067084267540795,4.044000086135035,0.6873081687824828,0.6866857262087104,0.6828714971677867,0.6826448439572173,0.6846464665047896,0.6862082799231457,0.6842831968322625,0.6873581959930435,0.6899199892378801,0.6904702190344031,0.6932576189962537,0.6939404786324441,0.6935659492549501,1.8873371216915835,2.092711311944327,1.9613917596665746,2.0985337861942908,1.8432844548370255,1.996891436149908,2.67216456038721,3.5630126946205722,2.876747425633995,3.5453990392930486,2.9124712418230674,2.655188220917852,2.3022485411955946
faf5188c-ceb2-41b2-869b-7f26f712ce88,['11266500'],5,8,4,,8,1,21,1,1,12,ImgSizeCNN,0.5,,24,2022-11-28 00:08:17,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-11-27 23:54:07,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 00:08:13,2022-11-28 00:07:45,100,2022-11-28 00:07:18,2022-11-27 23:54:56,True,2022-11-28 00:07:45,2022-11-28 00:07:18,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,11.091085037550593,11.091085037550593,11.091085037550593,0.698138339289683,0.698138339289683,3.2293417321006515,3.2293417321006515,0.698138339289683,3.2293417321006515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd81c099-4f3f-4269-8316-4c2e7a3861c1,"['11402000', '11189500', '11318500', '11266500', '11202710']",2,24,4,4,8,1,21,14,1,12,GAPTransArchitecture,0.5,,48,2022-11-26 02:07:34,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-26 01:12:28,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-26 02:07:26,2022-11-26 02:03:37,100,2022-11-26 01:59:43,2022-11-26 01:13:33,True,2022-11-26 02:03:37,2022-11-26 01:59:43,m3,True,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,,,3.373974948295725,3.5320276669269,3.536583911895293,0.6985180705755015,0.6989724968904485,3.6345006735819347,3.634500673581935,0.67725480105269,3.9499649122437153,3.351037748937325,3.2992589569350796,3.3714253804220795,3.3254354519422096,3.454554920944097,3.4683961698859234,3.4583149843134313,3.6758483865126546,3.627348402659867,3.7304048389351774,3.855423841174405,3.6831279309743072,3.7738353750443134,0.6949917913683313,0.6950400412966538,0.6964476819232832,0.696968442841647,0.691863134998055,0.6930546574746472,0.6982743350830335,0.6969440641607523,0.7058431330267163,0.7068312327797983,0.7038532237317122,0.7112094525592191,0.7106769957604824,3.040586705796344,3.1719447364387023,3.7283762678530943,2.928612655266641,2.9499130265513815,2.9165579659567618,3.792985301417895,4.5859504303330185,3.4308687430848597,5.138108836098229,4.93960813183817,3.3675209350177284,2.9420107822505495
91ae87e8-244a-4459-8a25-64c1c06b4907,"['11402000', '11189500', '11318500', '11266500', '11202710']",3,64,16,16,8,1,21,14,1,12,GAPTransMaxArchitecture,0.5,,48,2022-11-28 00:41:56,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-28 00:10:22,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 00:41:43,2022-11-28 00:40:01,100,2022-11-28 00:38:15,2022-11-28 00:10:30,True,2022-11-28 00:40:01,2022-11-28 00:38:15,m3,True,48,64,"(5, 5)","(1, 1)",64,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,,,3.2192252086341484,3.715563917212422,3.7440324595388326,0.7138204841365081,0.7138264484393232,2.32287808337728,2.32287808337728,0.6983056814161962,1.6892345294478892,3.1387384675674195,3.2126466677758017,3.2503625668395966,3.2218053981819574,3.427114253279342,3.5403967658356583,3.8158755227991223,4.002390217215024,3.9923295343056697,4.150430420228602,4.311796345815867,4.410401977689076,4.324381494806632,0.7253802792159222,0.7182092370612639,0.7170474163191767,0.7231463502430088,0.7094372475758982,0.707109683183748,0.703928148381979,0.7110974732986837,0.7115086326767763,0.7123843931822925,0.7149420880374703,0.7214942284685493,0.7194959188501495,1.4096151364170024,1.6450821987845907,1.6768736983044055,1.6126797539216933,1.888223185161321,2.132670718592764,2.7660571241190794,3.0321798018983923,2.7963080426616957,2.938369424481785,3.1535302806843535,3.1394619440367646,2.6400073287701833
4881cd00-25af-4f7c-bf22-7d3fe121ae59,"['11402000', '11189500', '11318500', '11266500', '11202710']",5,24,4,4,8,1,21,14,1,12,ConvResizeGAPTransArchitecture,0.5,,48,2022-11-26 17:09:52,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-26 15:42:46,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-26 17:09:43,2022-11-26 17:06:32,100,2022-11-26 17:03:15,2022-11-26 15:42:57,True,2022-11-26 17:06:32,2022-11-26 17:03:15,m3,True,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,"(138, 138)","(9, 9)",14,"(2, 2)",False,"(1, 1)","(35, 35)",,,,5.631026917226734,5.681015548931927,5.681672713213501,0.7151881061718103,0.7152487873146335,2.2464042600889758,2.2464042600889758,0.7104678291868167,1.9962515185624836,5.573788538090077,5.635328852312221,5.661826642593606,5.580554986834463,5.557025290067918,5.638339844072611,5.656515297953081,5.764389021514789,5.673375619473391,5.745388817191764,5.839519212209772,5.80842263229774,5.76871601320883,0.7117897206102626,0.7137472544602373,0.7141545432880978,0.7131397429555091,0.7136900043036013,0.7137823159418079,0.7130748246925158,0.7158513416117099,0.7150000745478103,0.7168303400076865,0.7191244695022894,0.7209070228369797,0.7210740024600198,1.9496520444350434,1.9213416517582023,2.0917111759690554,1.9099508731112327,1.9435409185884667,2.058641456809328,2.2572379734494223,2.6161397743237402,2.34794610867274,2.5583773190401304,2.808712287816612,2.5858170325694783,2.4043395061397215
