id,gages,epochs,hidden_dim,enc_num_heads,dec_num_heads,n_days_et,n_days_precip,n_days_temp,n_days_y,n_et,n_swe,dec_dense_dim,dec_embed_dim,dem_kernal,dem_strides,dropout,enc_dense_dim,enc_embed_dim,end_time,et_kernal,et_strides,learning_rate,loss,opt,precip_kernal,precip_strides,shuffle_train,start_time,swe_days_relative,swe_kernal,swe_strides,temp_kernal,temp_strides,test_pred_end_time,test_pred_start_time,tf_board_update_freq,train_end_time,train_start_time,use_masks,val_pred_end_time,val_pred_start_time,y_col,num_training_samples,architecture,pooling,cnn_activation,kernal,strides,rmse_1day,rmse_2day,rmse_3day,rmse_4day,rmse_5day,rmse_6day,rmse_7day,rmse_8day,rmse_9day,rmse_10day,rmse_11day,rmse_12day,rmse_13day,rmse_14day,rmse_avg,rmse_total
f8804858-d98a-4207-8f0f-ef9707f1c7cd,['11318500'],2,16,2,2,8,7,7,14,1,12,32,16,"(5, 5)","(1, 1)",0.5,32,16,2022-11-22 23:36:32,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-22 23:30:41,"range(7, 85, 7)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",,,100,2022-11-22 23:35:57,2022-11-22 23:30:41,True,2022-11-22 23:36:24,2022-11-22 23:35:57,m3,1742,,,,,,1.3305140089480625,1.3719811710403684,1.430264393344068,1.4639145568975256,1.4075979388747712,1.4383350088689861,1.329041060737461,1.4672004948171644,1.484628163478902,1.4699998847740576,1.490330181240985,1.4972159729388785,1.61645283906065,1.4025436019384767,1.4428585197828825,1.4446521433712143
b355535f-6a36-4696-bd0b-2996fc0664b5,"['11402000', '11189500']",2,24,4,4,8,1,21,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-24 00:21:21,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-23 23:46:07,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-24 00:21:13,2022-11-24 00:19:22,100,2022-11-24 00:17:33,2022-11-23 23:46:10,True,2022-11-24 00:19:22,2022-11-24 00:17:33,m3,,,,,,,3.297676971281343,3.37305733105061,3.4533338974559276,3.4769900702584917,3.483208676832937,3.532658875821454,3.4891417705538172,3.507619187721735,3.513476212481729,3.4857235803565754,3.486015869965596,3.506416757028638,3.5124384035285927,3.5302760701786724,3.474859548179723,3.4754158021128516
917bfa66-7b2b-425e-a9df-c78a9dfc9797,"['11402000', '11189500']",2,24,4,4,8,1,28,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-24 04:54:11,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-24 04:18:02,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-24 04:54:04,2022-11-24 04:52:05,100,2022-11-24 04:50:02,2022-11-24 04:18:05,True,2022-11-24 04:52:05,2022-11-24 04:50:02,m3,,,,,,,3.2478588772176935,3.4167360524443793,3.4457670073178983,3.5314258854545497,3.5604933516366035,3.6815820254241416,3.5488674102137505,3.54713185423678,3.6189313403311516,3.5653952300996385,3.4724355163153224,3.4522039686295463,3.5123246976937015,3.489482291876389,3.5064739649208247,3.5078672223136325
85818ee5-259e-4ed3-99ff-54a0d39adf2d,"['11402000', '11189500']",2,24,4,4,8,1,14,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-23 20:37:28,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-23 20:03:17,"range(7, 85, 7)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-23 20:37:20,2022-11-23 20:35:45,100,2022-11-23 20:34:08,2022-11-23 20:03:20,True,2022-11-23 20:35:45,2022-11-23 20:34:08,m3,,,,,,,3.324135900593723,3.4307008014435674,3.5345666591080596,3.5763953901057697,3.5782574070927025,3.661423304776374,3.6869902162091837,3.620300582475912,3.6047231243976308,3.6200107585305594,3.5529580561952403,3.5224398408725457,3.5619046302678368,3.5691046805138034,3.5602793823273506,3.5613906360080607
4d643901-3703-4eab-97d6-2efc59282a1e,"['11402000', '11189500']",2,24,4,4,8,1,7,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-23 19:52:03,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-23 19:19:01,"range(7, 85, 7)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-23 19:51:56,2022-11-23 19:50:32,100,2022-11-23 19:49:07,2022-11-23 19:19:04,True,2022-11-23 19:50:32,2022-11-23 19:49:07,m3,,,,,,,3.3575536203098753,3.528423263124942,3.564563849123586,3.6049478149163243,3.63438129252489,3.6499943075812338,3.6591692638086446,3.68627594076543,3.704251543433934,3.717576544959512,3.6109410990999895,3.6581556254975,3.647242266006504,3.6386643941660637,3.6187243446656017,3.619778454583873
e22ab74a-6abb-4962-aee1-63a8796e9953,"['11402000', '11189500']",2,24,4,4,32,7,7,14,4,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-24 19:34:48,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-24 19:00:04,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-24 19:34:41,2022-11-24 19:33:05,100,2022-11-24 19:31:22,2022-11-24 19:00:07,True,2022-11-24 19:33:05,2022-11-24 19:31:22,m3,,,,,,,3.296331325293031,3.4907025155069102,3.5877154027818037,3.6047860331400643,3.627770725154317,3.7267460538619788,3.7480314471522176,3.6776089140603037,3.6980116624088732,3.772461180300893,3.7232112570153295,3.706321662081767,3.7325427372904656,3.7672121518455004,3.654246647706675,3.6563890332434132
1c69a2cc-dc5d-4983-a6e3-af22b7c6a0d8,"['11402000', '11189500']",2,24,4,4,8,2,7,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-23 19:09:41,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-23 18:36:24,"range(7, 85, 7)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-23 19:09:34,2022-11-23 19:08:08,100,2022-11-23 19:06:44,2022-11-23 18:36:27,True,2022-11-23 19:08:08,2022-11-23 19:06:44,m3,,,,,,,3.371317102868446,3.5262172570092494,3.6200705074014827,3.6732620971919796,3.660283770216828,3.6843174315067477,3.7269888034865035,3.770039108881974,3.770748082007909,3.760548470106159,3.690273595094329,3.7599652155435472,3.733288176946621,3.685596486781049,3.6737797217887733,3.6753041691579087
8aff7f26-967a-4232-b9ac-1c0fdd9a69c4,"['11402000', '11189500']",2,24,4,4,8,3,7,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-23 18:20:40,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-23 17:47:14,"range(7, 85, 7)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-23 18:20:32,2022-11-23 18:19:02,100,2022-11-23 18:17:36,2022-11-23 17:47:18,True,2022-11-23 18:19:02,2022-11-23 18:17:36,m3,,,,,,,3.385350282843509,3.5564176035717106,3.6374710166108426,3.707196860337974,3.679119195267508,3.767145114627538,3.7149896931458897,3.723769288861238,3.707001978357441,3.6881488379519523,3.6740400764413508,3.7860154512018185,3.7376642027726517,3.7117140418548846,3.676860260274736,3.6781386693221476
8e7acd04-89bc-402c-9a5c-29d4ca04e579,"['11402000', '11189500']",2,24,4,4,8,7,7,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-23 16:32:07,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-23 15:58:01,"range(7, 85, 7)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-23 16:31:59,2022-11-23 16:30:25,100,2022-11-23 16:28:47,2022-11-23 15:58:05,True,2022-11-23 16:30:25,2022-11-23 16:28:47,m3,,,,,,,3.3106809007561164,3.5507701987832236,3.61383828726519,3.6484385594325754,3.639856019590129,3.7319878766318246,3.7277040724538444,3.6886455021910756,3.759211264420965,3.779930487894737,3.7605353304183358,3.743770349605045,3.759614009047124,3.7531956429609172,3.676298464389365,3.678274420976011
667ba533-1618-4bee-aec4-736d9927e1c5,"['11402000', '11189500']",10,24,4,4,8,1,21,14,1,12,48,24,"(5, 5)","(1, 1)",0.5,48,24,2022-11-24 16:56:45,"(4, 4)","(1, 1)",0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,"(2, 2)","(1, 1)",True,2022-11-24 14:15:53,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]","(5, 5)","(1, 1)","(2, 2)","(1, 1)",2022-11-24 16:56:37,2022-11-24 16:54:51,100,2022-11-24 16:53:00,2022-11-24 14:15:57,True,2022-11-24 16:54:51,2022-11-24 16:53:00,m3,,,,,,,3.6010710115694025,3.6179225766852015,3.6188657329442098,3.643061032520155,3.63252921926999,3.711821364787503,3.6836424805339503,3.7072014167659737,3.699086314959544,3.7210980922620176,3.6723402301355352,3.7114085920875146,3.7567511121412966,3.771259551484735,3.6820041948676443,3.6823578852133148
