time,m3,swe_avg,swe_max,tp_avg,t2m_avg,tp_max,t2m_max,pixel_sum,pixel_mean,pixel_min,pixel_max
2010-01-01,1.5999018319999998,0.0100510792552315,10.0,36.59678,0.27720663,54.22773,1.0215338,12514.0,49.07451,34.0,61.0
2010-01-02,1.817941551,0.0034327456472785,6.0,19.43233,2.140078,40.22646,2.6421893,12514.0,49.07451,34.0,61.0
2010-01-03,1.758476173,0.0007963969901686,4.0,0.76686937,-2.1164784,1.7524891,-0.91660726,12514.0,49.07451,34.0,61.0
2010-01-04,1.693347426,0.0004668534080298,4.0,0.016986301,-1.9634407,0.045573004,-0.20472734,12514.0,49.07451,34.0,61.0
2010-01-05,1.662198895,0.0004119294776734,4.0,0.21812896,0.024585247,0.30243903,0.96106267,12514.0,49.07451,34.0,61.0
2010-01-06,1.614060256,0.0002746196517822,3.0,0.85200804,-0.16999793,1.7131307,0.6597629,12514.0,49.07451,34.0,61.0
2010-01-07,1.5999018319999998,0.0001922337562475,3.0,26.847263,1.2202841,30.620916,2.069096,12514.0,49.07451,34.0,61.0
2010-01-08,1.608396886,0.0001098478607129,2.0,15.534594,0.43147072,17.719612,1.6653022,12514.0,49.07451,34.0,61.0
2010-01-09,1.699010796,8.238589553468446e-05,2.0,6.4993315,1.1758231,7.4677577,1.933275,145640.0,44.24058,27.0,82.0
2010-01-10,1.772634597,5.492393035645631e-05,1.0,1.5337387,0.90421087,2.4091547,1.7256726,145640.0,44.24058,27.0,82.0
2010-01-11,1.766971227,5.492393035645631e-05,1.0,0.10233211,0.9817225,0.18643501,2.1094103,145640.0,44.24058,27.0,82.0
2010-01-12,3.992675369,5.492393035645631e-05,1.0,185.13742,2.7175744,239.801,3.6362674,145640.0,44.24058,27.0,82.0
2010-01-13,13.90357168,0.2729993958367661,39.0,337.50372,2.3627553,477.93445,3.0104947,145640.0,44.24058,27.0,82.0
2010-01-14,7.249112727999999,1.0718405009062448,89.0,23.81438,-1.7721299,32.868492,-0.37392575,145640.0,44.24058,27.0,82.0
2010-01-15,4.757230227,0.4556489262371615,84.0,0.06939525,-0.8412119,0.087003,0.6471459,145640.0,44.24058,27.0,82.0
2010-01-16,3.879407983,0.1582083813917724,74.0,0.031072501,0.87240195,0.031072501,2.6585763,145640.0,44.24058,27.0,82.0
2010-01-17,3.794457443,0.0664579557313121,63.0,106.8544,0.8013346,153.12944,1.6097069,5528.0,33.101795,23.0,46.0
